model,model_id,model_slug,provider,reasoning_mode,task_id,sample_idx,status,finish_reason,family,source_collection,task_form,core_function,benchmark_split,input_tokens,output_tokens,reasoning_tokens,total_tokens,api_elapsed_s,task_elapsed_s,api_call_count,generated_at,meta_path,result:results-bpack48__mimo-v25-pro__strict-evas__controller-pass-efficient-smoke-mt8192__20260508:evas,result:results-bpack48__mimo-v25-pro__strict-evas__controller-pass-efficient-smoke-mt8192__20260508:spectre
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,mimo,mimo_thinking:disabled,bpack_analog_limiter_bugfix,0,generated,stop,bugfix,balanced_supplement_v1,bugfix,analog_limiter,benchmark-bpack-v1,2071,196,0,2267,5.196,5.204,1,2026-05-08T02:42:16.046827+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-bpack48__mimo-v25-pro__strict-evas__controller-pass-efficient-smoke-mt8192__20260508/mimo-v2.5-pro/bpack_analog_limiter_bugfix/sample_0/generation_meta.json,,
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,mimo,mimo_thinking:disabled,bpack_analog_limiter_dut,0,local_or_source_selected,stop,spec-to-va,balanced_supplement_v1,spec-to-va,analog_limiter,benchmark-bpack-v1,1919,245,0,2164,5.67,5.678,1,2026-05-08T03:55:24.632786+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-bpack48__mimo-v25-pro__strict-evas__controller-pass-efficient-smoke-mt8192__20260508/mimo-v2.5-pro/bpack_analog_limiter_dut/sample_0/generation_meta.json,FAIL_TB_COMPILE,FAIL_DUT_COMPILE
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,mimo,mimo_thinking:disabled,bpack_analog_limiter_e2e,0,generated,stop,end-to-end,balanced_supplement_v1,end-to-end,analog_limiter,benchmark-bpack-v1,2111,420,0,2531,9.924,9.934,1,2026-05-08T02:42:16.047620+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-bpack48__mimo-v25-pro__strict-evas__controller-pass-efficient-smoke-mt8192__20260508/mimo-v2.5-pro/bpack_analog_limiter_e2e/sample_0/generation_meta.json,,
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,mimo,mimo_thinking:disabled,bpack_analog_limiter_tb,0,generated,stop,tb-generation,balanced_supplement_v1,tb-generation,analog_limiter,benchmark-bpack-v1,1612,398,0,2010,10.338,10.344,1,2026-05-08T02:42:16.047190+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-bpack48__mimo-v25-pro__strict-evas__controller-pass-efficient-smoke-mt8192__20260508/mimo-v2.5-pro/bpack_analog_limiter_tb/sample_0/generation_meta.json,,
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,mimo,mimo_thinking:disabled,bpack_binary_dac_4b_bugfix,0,generated,stop,bugfix,original92,bugfix,data-converter,benchmark-bpack-v1,2647,303,0,2950,6.352,6.361,1,2026-05-08T02:42:16.047714+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-bpack48__mimo-v25-pro__strict-evas__controller-pass-efficient-smoke-mt8192__20260508/mimo-v2.5-pro/bpack_binary_dac_4b_bugfix/sample_0/generation_meta.json,,
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,mimo,mimo_thinking:disabled,bpack_binary_dac_4b_dut,0,generated,stop,spec-to-va,original92,spec-to-va,data-converter,benchmark-bpack-v1,2663,331,0,2994,6.82,6.83,1,2026-05-08T02:42:16.048262+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-bpack48__mimo-v25-pro__strict-evas__controller-pass-efficient-smoke-mt8192__20260508/mimo-v2.5-pro/bpack_binary_dac_4b_dut/sample_0/generation_meta.json,,
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,mimo,mimo_thinking:disabled,bpack_binary_dac_4b_e2e,0,generated,stop,end-to-end,original92,end-to-end,data-converter,benchmark-bpack-v1,2628,787,0,3415,12.418,12.427,1,2026-05-08T02:42:16.048228+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-bpack48__mimo-v25-pro__strict-evas__controller-pass-efficient-smoke-mt8192__20260508/mimo-v2.5-pro/bpack_binary_dac_4b_e2e/sample_0/generation_meta.json,,
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,mimo,mimo_thinking:disabled,bpack_binary_dac_4b_tb,0,generated,stop,tb-generation,original92,tb-generation,data-converter,benchmark-bpack-v1,1811,363,0,2174,8.664,8.669,1,2026-05-08T02:42:16.048484+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-bpack48__mimo-v25-pro__strict-evas__controller-pass-efficient-smoke-mt8192__20260508/mimo-v2.5-pro/bpack_binary_dac_4b_tb/sample_0/generation_meta.json,,
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,mimo,mimo_thinking:disabled,bpack_clock_divider_bugfix,0,generated,stop,bugfix,original92,bugfix,digital-logic,benchmark-bpack-v1,2279,363,0,2642,9.738,9.743,1,2026-05-08T02:42:21.247281+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-bpack48__mimo-v25-pro__strict-evas__controller-pass-efficient-smoke-mt8192__20260508/mimo-v2.5-pro/bpack_clock_divider_bugfix/sample_0/generation_meta.json,,
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,mimo,mimo_thinking:disabled,bpack_clock_divider_dut,0,generated,stop,spec-to-va,original92,spec-to-va,digital-logic,benchmark-bpack-v1,2295,318,0,2613,9.421,9.424,1,2026-05-08T02:42:21.721266+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-bpack48__mimo-v25-pro__strict-evas__controller-pass-efficient-smoke-mt8192__20260508/mimo-v2.5-pro/bpack_clock_divider_dut/sample_0/generation_meta.json,,
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,mimo,mimo_thinking:disabled,bpack_clock_divider_e2e,0,generated,stop,end-to-end,original92,end-to-end,digital-logic,benchmark-bpack-v1,2281,589,0,2870,12.853,12.857,1,2026-05-08T02:42:22.405021+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-bpack48__mimo-v25-pro__strict-evas__controller-pass-efficient-smoke-mt8192__20260508/mimo-v2.5-pro/bpack_clock_divider_e2e/sample_0/generation_meta.json,,
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,mimo,mimo_thinking:disabled,bpack_clock_divider_tb,0,generated,stop,tb-generation,original92,tb-generation,digital-logic,benchmark-bpack-v1,1955,207,0,2162,6.81,6.813,1,2026-05-08T02:42:22.875651+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-bpack48__mimo-v25-pro__strict-evas__controller-pass-efficient-smoke-mt8192__20260508/mimo-v2.5-pro/bpack_clock_divider_tb/sample_0/generation_meta.json,,
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,mimo,mimo_thinking:disabled,bpack_dwa_pointer_bugfix,0,generated,stop,bugfix,original92,bugfix,calibration,benchmark-bpack-v1,2888,4202,0,7090,58.33,58.371,1,2026-05-08T02:42:24.714476+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-bpack48__mimo-v25-pro__strict-evas__controller-pass-efficient-smoke-mt8192__20260508/mimo-v2.5-pro/bpack_dwa_pointer_bugfix/sample_0/generation_meta.json,,
