group,tasks,generated,api_error,no_code_extracted,total_input_tokens,total_output_tokens,total_reasoning_tokens,total_tokens,avg_tokens_per_task,avg_reasoning_tokens_per_task,api_elapsed_s,avg_api_elapsed_s_per_task,task_elapsed_s,avg_task_elapsed_s_per_task,api_call_count,model_id,provider,reasoning_mode,model,source_collection,task_form,core_function
overall,7,3,0,0,10950,789,0,11739,1677.0,0.0,19.552,2.793,55.454,7.922,3,mimo-v2.5-pro,mimo,mimo_thinking:disabled,,,,
model,7,3,0,0,10950,789,0,11739,1677.0,0.0,19.552,2.793,55.454,7.922,3,mimo-v2.5-pro,mimo,mimo_thinking:disabled,mimo-v2.5-pro,,,
source_collection,2,2,0,0,7336,571,0,7907,3953.5,0.0,13.003,6.502,0.0,0.0,2,mimo-v2.5-pro,mimo,mimo_thinking:disabled,,,,
source_collection,4,1,0,0,3614,218,0,3832,958.0,0.0,6.549,1.637,28.72,7.18,1,mimo-v2.5-pro,mimo,mimo_thinking:disabled,,balanced_supplement_v1,,
source_collection,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,26.734,26.734,0,mimo-v2.5-pro,,,,original92,,
task_form,2,2,0,0,7336,571,0,7907,3953.5,0.0,13.003,6.502,0.0,0.0,2,mimo-v2.5-pro,mimo,mimo_thinking:disabled,,,,
task_form,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,26.734,26.734,0,mimo-v2.5-pro,,,,,end-to-end,
task_form,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,14.775,7.387,0,mimo-v2.5-pro,,,,,spec-to-va,
task_form,2,1,0,0,3614,218,0,3832,1916.0,0.0,6.549,3.275,13.945,6.973,1,mimo-v2.5-pro,mimo,mimo_thinking:disabled,,,tb-generation,
source_collection+task_form,2,2,0,0,7336,571,0,7907,3953.5,0.0,13.003,6.502,0.0,0.0,2,mimo-v2.5-pro,mimo,mimo_thinking:disabled,,,,
source_collection+task_form,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,14.775,7.387,0,mimo-v2.5-pro,,,,balanced_supplement_v1,spec-to-va,
source_collection+task_form,2,1,0,0,3614,218,0,3832,1916.0,0.0,6.549,3.275,13.945,6.973,1,mimo-v2.5-pro,mimo,mimo_thinking:disabled,,balanced_supplement_v1,tb-generation,
source_collection+task_form,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,26.734,26.734,0,mimo-v2.5-pro,,,,original92,end-to-end,
core_function,2,2,0,0,7336,571,0,7907,3953.5,0.0,13.003,6.502,0.0,0.0,2,mimo-v2.5-pro,mimo,mimo_thinking:disabled,,,,
core_function,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.678,5.678,0,mimo-v2.5-pro,,,,,,analog_limiter
core_function,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,26.734,26.734,0,mimo-v2.5-pro,,,,,,digital-logic
core_function,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9.097,9.097,0,mimo-v2.5-pro,,,,,,pulse_stretcher
core_function,1,1,0,0,3614,218,0,3832,3832.0,0.0,6.549,6.549,6.843,6.843,1,mimo-v2.5-pro,mimo,mimo_thinking:disabled,,,,threshold_detector
core_function,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,7.102,7.102,0,mimo-v2.5-pro,,,,,,window_detector
model+source_collection+task_form,2,2,0,0,7336,571,0,7907,3953.5,0.0,13.003,6.502,0.0,0.0,2,mimo-v2.5-pro,mimo,mimo_thinking:disabled,mimo-v2.5-pro,,,
model+source_collection+task_form,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,14.775,7.387,0,mimo-v2.5-pro,,,mimo-v2.5-pro,balanced_supplement_v1,spec-to-va,
model+source_collection+task_form,2,1,0,0,3614,218,0,3832,1916.0,0.0,6.549,3.275,13.945,6.973,1,mimo-v2.5-pro,mimo,mimo_thinking:disabled,mimo-v2.5-pro,balanced_supplement_v1,tb-generation,
model+source_collection+task_form,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,26.734,26.734,0,mimo-v2.5-pro,,,mimo-v2.5-pro,original92,end-to-end,
