group,tasks,generated,api_error,no_code_extracted,total_input_tokens,total_output_tokens,total_reasoning_tokens,total_tokens,avg_tokens_per_task,avg_reasoning_tokens_per_task,api_elapsed_s,avg_api_elapsed_s_per_task,task_elapsed_s,avg_task_elapsed_s_per_task,api_call_count,model_id,provider,reasoning_mode,result:results-bpack48__mimo-v25-pro__strict-evas__prompt-only-mt8192__20260508:evas:pass_count,result:results-bpack48__mimo-v25-pro__strict-evas__prompt-only-mt8192__20260508:evas:seen_count,result:results-bpack48__mimo-v25-pro__strict-evas__prompt-only-mt8192__20260508:evas:pass_rate,model,source_collection,task_form,core_function
overall,48,48,0,0,58732,28086,0,86818,1808.71,0.0,639.597,13.325,639.994,13.333,48,mimo-v2.5-pro,mimo,mimo_thinking:disabled,15,48,0.3125,,,,
model,48,48,0,0,58732,28086,0,86818,1808.71,0.0,639.597,13.325,639.994,13.333,48,mimo-v2.5-pro,mimo,mimo_thinking:disabled,15,48,0.3125,mimo-v2.5-pro,,,
source_collection,16,16,0,0,14325,6632,0,20957,1309.81,0.0,184.521,11.533,184.762,11.548,16,mimo-v2.5-pro,mimo,mimo_thinking:disabled,4,16,0.25,,balanced_supplement_v1,,
source_collection,32,32,0,0,44407,21454,0,65861,2058.16,0.0,455.076,14.221,455.232,14.226,32,mimo-v2.5-pro,mimo,mimo_thinking:disabled,11,32,0.3438,,original92,,
task_form,12,12,0,0,15853,5630,0,21483,1790.25,0.0,128.485,10.707,128.567,10.714,12,mimo-v2.5-pro,mimo,mimo_thinking:disabled,7,12,0.5833,,,bugfix,
task_form,12,12,0,0,16482,11801,0,28283,2356.92,0.0,245.229,20.436,245.362,20.447,12,mimo-v2.5-pro,mimo,mimo_thinking:disabled,0,12,0.0,,,end-to-end,
task_form,12,12,0,0,15538,4806,0,20344,1695.33,0.0,120.917,10.076,121.06,10.088,12,mimo-v2.5-pro,mimo,mimo_thinking:disabled,6,12,0.5,,,spec-to-va,
task_form,12,12,0,0,10859,5849,0,16708,1392.33,0.0,144.966,12.081,145.005,12.084,12,mimo-v2.5-pro,mimo,mimo_thinking:disabled,2,12,0.1667,,,tb-generation,
source_collection+task_form,4,4,0,0,4252,934,0,5186,1296.5,0.0,31.56,7.89,31.598,7.899,4,mimo-v2.5-pro,mimo,mimo_thinking:disabled,3,4,0.75,,balanced_supplement_v1,bugfix,
source_collection+task_form,4,4,0,0,4279,2557,0,6836,1709.0,0.0,63.846,15.961,63.927,15.982,4,mimo-v2.5-pro,mimo,mimo_thinking:disabled,0,4,0.0,,balanced_supplement_v1,end-to-end,
source_collection+task_form,4,4,0,0,3511,1490,0,5001,1250.25,0.0,39.291,9.823,39.392,9.848,4,mimo-v2.5-pro,mimo,mimo_thinking:disabled,1,4,0.25,,balanced_supplement_v1,spec-to-va,
source_collection+task_form,4,4,0,0,2283,1651,0,3934,983.5,0.0,49.824,12.456,49.845,12.461,4,mimo-v2.5-pro,mimo,mimo_thinking:disabled,0,4,0.0,,balanced_supplement_v1,tb-generation,
source_collection+task_form,8,8,0,0,11601,4696,0,16297,2037.12,0.0,96.925,12.116,96.969,12.121,8,mimo-v2.5-pro,mimo,mimo_thinking:disabled,4,8,0.5,,original92,bugfix,
source_collection+task_form,8,8,0,0,12203,9244,0,21447,2680.88,0.0,181.383,22.673,181.435,22.679,8,mimo-v2.5-pro,mimo,mimo_thinking:disabled,0,8,0.0,,original92,end-to-end,
source_collection+task_form,8,8,0,0,12027,3316,0,15343,1917.88,0.0,81.626,10.203,81.668,10.209,8,mimo-v2.5-pro,mimo,mimo_thinking:disabled,5,8,0.625,,original92,spec-to-va,
source_collection+task_form,8,8,0,0,8576,4198,0,12774,1596.75,0.0,95.142,11.893,95.16,11.895,8,mimo-v2.5-pro,mimo,mimo_thinking:disabled,2,8,0.25,,original92,tb-generation,
core_function,4,4,0,0,3553,1047,0,4600,1150.0,0.0,50.551,12.638,50.662,12.665,4,mimo-v2.5-pro,mimo,mimo_thinking:disabled,1,4,0.25,,,,analog_limiter
core_function,4,4,0,0,7064,6101,0,13165,3291.25,0.0,97.92,24.48,97.936,24.484,4,mimo-v2.5-pro,mimo,mimo_thinking:disabled,0,4,0.0,,,,calibration
core_function,4,4,0,0,5616,1880,0,7496,1874.0,0.0,46.771,11.693,46.786,11.697,4,mimo-v2.5-pro,mimo,mimo_thinking:disabled,0,4,0.0,,,,comparator
core_function,8,8,0,0,11703,5411,0,17114,2139.25,0.0,127.133,15.892,127.179,15.897,8,mimo-v2.5-pro,mimo,mimo_thinking:disabled,5,8,0.625,,,,data-converter
core_function,8,8,0,0,9417,5548,0,14965,1870.62,0.0,116.835,14.604,116.878,14.61,8,mimo-v2.5-pro,mimo,mimo_thinking:disabled,1,8,0.125,,,,digital-logic
core_function,4,4,0,0,5683,1413,0,7096,1774.0,0.0,38.421,9.605,38.438,9.61,4,mimo-v2.5-pro,mimo,mimo_thinking:disabled,3,4,0.75,,,,phase-detector
core_function,4,4,0,0,3543,1497,0,5040,1260.0,0.0,35.258,8.814,35.279,8.82,4,mimo-v2.5-pro,mimo,mimo_thinking:disabled,1,4,0.25,,,,pulse_stretcher
core_function,4,4,0,0,4924,1101,0,6025,1506.25,0.0,27.996,6.999,28.015,7.004,4,mimo-v2.5-pro,mimo,mimo_thinking:disabled,2,4,0.5,,,,sample-hold
core_function,4,4,0,0,3537,2081,0,5618,1404.5,0.0,43.349,10.837,43.415,10.854,4,mimo-v2.5-pro,mimo,mimo_thinking:disabled,0,4,0.0,,,,threshold_detector
core_function,4,4,0,0,3692,2007,0,5699,1424.75,0.0,55.363,13.841,55.406,13.851,4,mimo-v2.5-pro,mimo,mimo_thinking:disabled,2,4,0.5,,,,window_detector
model+source_collection+task_form,4,4,0,0,4252,934,0,5186,1296.5,0.0,31.56,7.89,31.598,7.899,4,mimo-v2.5-pro,mimo,mimo_thinking:disabled,3,4,0.75,mimo-v2.5-pro,balanced_supplement_v1,bugfix,
model+source_collection+task_form,4,4,0,0,4279,2557,0,6836,1709.0,0.0,63.846,15.961,63.927,15.982,4,mimo-v2.5-pro,mimo,mimo_thinking:disabled,0,4,0.0,mimo-v2.5-pro,balanced_supplement_v1,end-to-end,
model+source_collection+task_form,4,4,0,0,3511,1490,0,5001,1250.25,0.0,39.291,9.823,39.392,9.848,4,mimo-v2.5-pro,mimo,mimo_thinking:disabled,1,4,0.25,mimo-v2.5-pro,balanced_supplement_v1,spec-to-va,
model+source_collection+task_form,4,4,0,0,2283,1651,0,3934,983.5,0.0,49.824,12.456,49.845,12.461,4,mimo-v2.5-pro,mimo,mimo_thinking:disabled,0,4,0.0,mimo-v2.5-pro,balanced_supplement_v1,tb-generation,
model+source_collection+task_form,8,8,0,0,11601,4696,0,16297,2037.12,0.0,96.925,12.116,96.969,12.121,8,mimo-v2.5-pro,mimo,mimo_thinking:disabled,4,8,0.5,mimo-v2.5-pro,original92,bugfix,
model+source_collection+task_form,8,8,0,0,12203,9244,0,21447,2680.88,0.0,181.383,22.673,181.435,22.679,8,mimo-v2.5-pro,mimo,mimo_thinking:disabled,0,8,0.0,mimo-v2.5-pro,original92,end-to-end,
model+source_collection+task_form,8,8,0,0,12027,3316,0,15343,1917.88,0.0,81.626,10.203,81.668,10.209,8,mimo-v2.5-pro,mimo,mimo_thinking:disabled,5,8,0.625,mimo-v2.5-pro,original92,spec-to-va,
model+source_collection+task_form,8,8,0,0,8576,4198,0,12774,1596.75,0.0,95.142,11.893,95.16,11.895,8,mimo-v2.5-pro,mimo,mimo_thinking:disabled,2,8,0.25,mimo-v2.5-pro,original92,tb-generation,
