model,model_id,model_slug,provider,reasoning_mode,task_id,sample_idx,status,finish_reason,family,source_collection,task_form,core_function,benchmark_split,input_tokens,output_tokens,reasoning_tokens,total_tokens,api_elapsed_s,task_elapsed_s,api_call_count,generated_at,meta_path,result:results-bpack48__mimo-v25-pro__strict-evas__prompt-only-mt8192__20260508:evas
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,mimo,mimo_thinking:disabled,bpack_analog_limiter_bugfix,0,generated,stop,bugfix,balanced_supplement_v1,bugfix,analog_limiter,benchmark-bpack-v1,1031,183,0,1214,10.809,10.82,1,2026-05-08T02:40:12.245884+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-bpack48__mimo-v25-pro__strict-evas__prompt-only-mt8192__20260508/mimo-v2.5-pro/bpack_analog_limiter_bugfix/sample_0/generation_meta.json,PASS
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,mimo,mimo_thinking:disabled,bpack_analog_limiter_dut,0,generated,stop,spec-to-va,balanced_supplement_v1,spec-to-va,analog_limiter,benchmark-bpack-v1,879,188,0,1067,11.238,11.32,1,2026-05-08T02:40:12.246527+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-bpack48__mimo-v25-pro__strict-evas__prompt-only-mt8192__20260508/mimo-v2.5-pro/bpack_analog_limiter_dut/sample_0/generation_meta.json,FAIL_DUT_COMPILE
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,mimo,mimo_thinking:disabled,bpack_analog_limiter_e2e,0,generated,stop,end-to-end,balanced_supplement_v1,end-to-end,analog_limiter,benchmark-bpack-v1,1071,400,0,1471,15.122,15.133,1,2026-05-08T02:40:12.245743+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-bpack48__mimo-v25-pro__strict-evas__prompt-only-mt8192__20260508/mimo-v2.5-pro/bpack_analog_limiter_e2e/sample_0/generation_meta.json,FAIL_TB_COMPILE
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,mimo,mimo_thinking:disabled,bpack_analog_limiter_tb,0,generated,stop,tb-generation,balanced_supplement_v1,tb-generation,analog_limiter,benchmark-bpack-v1,572,276,0,848,13.382,13.389,1,2026-05-08T02:40:12.245852+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-bpack48__mimo-v25-pro__strict-evas__prompt-only-mt8192__20260508/mimo-v2.5-pro/bpack_analog_limiter_tb/sample_0/generation_meta.json,FAIL_DUT_COMPILE
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,mimo,mimo_thinking:disabled,bpack_binary_dac_4b_bugfix,0,generated,stop,bugfix,original92,bugfix,data-converter,benchmark-bpack-v1,1607,302,0,1909,12.394,12.403,1,2026-05-08T02:40:12.245121+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-bpack48__mimo-v25-pro__strict-evas__prompt-only-mt8192__20260508/mimo-v2.5-pro/bpack_binary_dac_4b_bugfix/sample_0/generation_meta.json,PASS
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,mimo,mimo_thinking:disabled,bpack_binary_dac_4b_dut,0,generated,stop,spec-to-va,original92,spec-to-va,data-converter,benchmark-bpack-v1,1623,302,0,1925,12.464,12.47,1,2026-05-08T02:40:12.246205+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-bpack48__mimo-v25-pro__strict-evas__prompt-only-mt8192__20260508/mimo-v2.5-pro/bpack_binary_dac_4b_dut/sample_0/generation_meta.json,PASS
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,mimo,mimo_thinking:disabled,bpack_binary_dac_4b_e2e,0,generated,stop,end-to-end,original92,end-to-end,data-converter,benchmark-bpack-v1,1588,1795,0,3383,33.313,33.323,1,2026-05-08T02:40:12.247170+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-bpack48__mimo-v25-pro__strict-evas__prompt-only-mt8192__20260508/mimo-v2.5-pro/bpack_binary_dac_4b_e2e/sample_0/generation_meta.json,FAIL_DUT_COMPILE
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,mimo,mimo_thinking:disabled,bpack_binary_dac_4b_tb,0,generated,stop,tb-generation,original92,tb-generation,data-converter,benchmark-bpack-v1,771,861,0,1632,20.744,20.748,1,2026-05-08T02:40:12.246417+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-bpack48__mimo-v25-pro__strict-evas__prompt-only-mt8192__20260508/mimo-v2.5-pro/bpack_binary_dac_4b_tb/sample_0/generation_meta.json,PASS
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,mimo,mimo_thinking:disabled,bpack_clock_divider_bugfix,0,generated,stop,bugfix,original92,bugfix,digital-logic,benchmark-bpack-v1,1239,368,0,1607,10.329,10.334,1,2026-05-08T02:40:23.059273+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-bpack48__mimo-v25-pro__strict-evas__prompt-only-mt8192__20260508/mimo-v2.5-pro/bpack_clock_divider_bugfix/sample_0/generation_meta.json,FAIL_SIM_CORRECTNESS
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,mimo,mimo_thinking:disabled,bpack_clock_divider_dut,0,generated,stop,spec-to-va,original92,spec-to-va,digital-logic,benchmark-bpack-v1,1255,352,0,1607,9.685,9.696,1,2026-05-08T02:40:23.584990+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-bpack48__mimo-v25-pro__strict-evas__prompt-only-mt8192__20260508/mimo-v2.5-pro/bpack_clock_divider_dut/sample_0/generation_meta.json,PASS
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,mimo,mimo_thinking:disabled,bpack_clock_divider_e2e,0,generated,stop,end-to-end,original92,end-to-end,digital-logic,benchmark-bpack-v1,1241,688,0,1929,14.793,14.8,1,2026-05-08T02:40:24.645152+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-bpack48__mimo-v25-pro__strict-evas__prompt-only-mt8192__20260508/mimo-v2.5-pro/bpack_clock_divider_e2e/sample_0/generation_meta.json,FAIL_DUT_COMPILE
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,mimo,mimo_thinking:disabled,bpack_clock_divider_tb,0,generated,stop,tb-generation,original92,tb-generation,digital-logic,benchmark-bpack-v1,915,375,0,1290,10.335,10.337,1,2026-05-08T02:40:24.712577+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-bpack48__mimo-v25-pro__strict-evas__prompt-only-mt8192__20260508/mimo-v2.5-pro/bpack_clock_divider_tb/sample_0/generation_meta.json,FAIL_DUT_COMPILE
