group,tasks,generated,api_error,no_code_extracted,total_input_tokens,total_output_tokens,total_reasoning_tokens,total_tokens,avg_tokens_per_task,avg_reasoning_tokens_per_task,api_elapsed_s,avg_api_elapsed_s_per_task,task_elapsed_s,avg_task_elapsed_s_per_task,api_call_count,model_id,provider,reasoning_mode,result:results-bpack48__mimo-v25-pro__strict-evas__rules-only-mt8192__20260508:evas:pass_count,result:results-bpack48__mimo-v25-pro__strict-evas__rules-only-mt8192__20260508:evas:seen_count,result:results-bpack48__mimo-v25-pro__strict-evas__rules-only-mt8192__20260508:evas:pass_rate,model,source_collection,task_form,core_function
overall,48,48,0,0,108652,32509,0,141161,2940.85,0.0,624.61,13.013,625.4,13.029,48,mimo-v2.5-pro,mimo,mimo_thinking:disabled,16,48,0.3333,,,,
model,48,48,0,0,108652,32509,0,141161,2940.85,0.0,624.61,13.013,625.4,13.029,48,mimo-v2.5-pro,mimo,mimo_thinking:disabled,16,48,0.3333,mimo-v2.5-pro,,,
source_collection,16,16,0,0,30965,5780,0,36745,2296.56,0.0,144.081,9.005,144.42,9.026,16,mimo-v2.5-pro,mimo,mimo_thinking:disabled,2,16,0.125,,balanced_supplement_v1,,
source_collection,32,32,0,0,77687,26729,0,104416,3263.0,0.0,480.529,15.017,480.98,15.031,32,mimo-v2.5-pro,mimo,mimo_thinking:disabled,14,32,0.4375,,original92,,
task_form,12,12,0,0,28333,8143,0,36476,3039.67,0.0,153.921,12.827,154.081,12.84,12,mimo-v2.5-pro,mimo,mimo_thinking:disabled,7,12,0.5833,,,bugfix,
task_form,12,12,0,0,28962,11008,0,39970,3330.83,0.0,198.335,16.528,198.645,16.554,12,mimo-v2.5-pro,mimo,mimo_thinking:disabled,2,12,0.1667,,,end-to-end,
task_form,12,12,0,0,28018,7763,0,35781,2981.75,0.0,153.259,12.772,153.425,12.785,12,mimo-v2.5-pro,mimo,mimo_thinking:disabled,4,12,0.3333,,,spec-to-va,
task_form,12,12,0,0,23339,5595,0,28934,2411.17,0.0,119.095,9.925,119.249,9.937,12,mimo-v2.5-pro,mimo,mimo_thinking:disabled,3,12,0.25,,,tb-generation,
source_collection+task_form,4,4,0,0,8412,952,0,9364,2341.0,0.0,26.714,6.678,26.797,6.699,4,mimo-v2.5-pro,mimo,mimo_thinking:disabled,2,4,0.5,,balanced_supplement_v1,bugfix,
source_collection+task_form,4,4,0,0,8439,2082,0,10521,2630.25,0.0,48.421,12.105,48.557,12.139,4,mimo-v2.5-pro,mimo,mimo_thinking:disabled,0,4,0.0,,balanced_supplement_v1,end-to-end,
