model,model_id,model_slug,provider,reasoning_mode,task_id,sample_idx,status,finish_reason,family,source_collection,task_form,core_function,benchmark_split,input_tokens,output_tokens,reasoning_tokens,total_tokens,api_elapsed_s,task_elapsed_s,api_call_count,generated_at,meta_path
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,,,bpack_analog_limiter_dut,0,local_or_source_selected,,,,,,,0,0,0,0,0.0,0.0,0,2026-05-08T05:07:56.542624+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-bpack48__mimo-v25-pro__strict-evas__r1234-compile-residual-skill-smoke__20260508/mimo-v2.5-pro/bpack_analog_limiter_dut/sample_0/generation_meta.json
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,,,bpack_dwa_pointer_bugfix,0,local_or_source_selected,,,,,,,0,0,0,0,0.0,0.0,0,2026-05-08T05:07:56.546286+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-bpack48__mimo-v25-pro__strict-evas__r1234-compile-residual-skill-smoke__20260508/mimo-v2.5-pro/bpack_dwa_pointer_bugfix/sample_0/generation_meta.json
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,,,bpack_dwa_pointer_dut,0,local_or_source_selected,,,,,,,0,0,0,0,0.0,0.0,0,2026-05-08T05:07:56.550113+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-bpack48__mimo-v25-pro__strict-evas__r1234-compile-residual-skill-smoke__20260508/mimo-v2.5-pro/bpack_dwa_pointer_dut/sample_0/generation_meta.json
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,,,bpack_dwa_pointer_tb,0,local_or_source_selected,,,,,,,0,0,0,0,0.0,0.0,0,2026-05-08T05:07:56.577172+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-bpack48__mimo-v25-pro__strict-evas__r1234-compile-residual-skill-smoke__20260508/mimo-v2.5-pro/bpack_dwa_pointer_tb/sample_0/generation_meta.json
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,,,bpack_hysteresis_comparator_tb,0,local_or_source_selected,,,,,,,0,0,0,0,0.0,0.0,0,2026-05-08T05:07:56.999146+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-bpack48__mimo-v25-pro__strict-evas__r1234-compile-residual-skill-smoke__20260508/mimo-v2.5-pro/bpack_hysteresis_comparator_tb/sample_0/generation_meta.json
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,,,bpack_prbs7_lfsr_e2e,0,local_or_source_selected,,,,,,,0,0,0,0,0.0,0.0,0,2026-05-08T05:08:00.947845+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-bpack48__mimo-v25-pro__strict-evas__r1234-compile-residual-skill-smoke__20260508/mimo-v2.5-pro/bpack_prbs7_lfsr_e2e/sample_0/generation_meta.json
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,,,bpack_pulse_stretcher_dut,0,local_or_source_selected,,,,,,,0,0,0,0,0.0,0.0,0,2026-05-08T05:08:00.962284+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-bpack48__mimo-v25-pro__strict-evas__r1234-compile-residual-skill-smoke__20260508/mimo-v2.5-pro/bpack_pulse_stretcher_dut/sample_0/generation_meta.json
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,,,bpack_sample_hold_tb,0,local_or_source_selected,,,,,,,0,0,0,0,0.0,0.0,0,2026-05-08T05:08:01.421546+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-bpack48__mimo-v25-pro__strict-evas__r1234-compile-residual-skill-smoke__20260508/mimo-v2.5-pro/bpack_sample_hold_tb/sample_0/generation_meta.json
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,,,bpack_threshold_detector_tb,0,local_or_source_selected,,,,,,,0,0,0,0,0.0,0.0,0,2026-05-08T05:08:01.804713+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-bpack48__mimo-v25-pro__strict-evas__r1234-compile-residual-skill-smoke__20260508/mimo-v2.5-pro/bpack_threshold_detector_tb/sample_0/generation_meta.json
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,,,bpack_window_detector_tb,0,local_or_source_selected,,,,,,,0,0,0,0,0.0,0.0,0,2026-05-08T05:08:01.809218+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-bpack48__mimo-v25-pro__strict-evas__r1234-compile-residual-skill-smoke__20260508/mimo-v2.5-pro/bpack_window_detector_tb/sample_0/generation_meta.json
