group,tasks,generated,api_error,no_code_extracted,total_input_tokens,total_output_tokens,total_reasoning_tokens,total_tokens,avg_tokens_per_task,avg_reasoning_tokens_per_task,api_elapsed_s,avg_api_elapsed_s_per_task,task_elapsed_s,avg_task_elapsed_s_per_task,api_call_count,model_id,provider,reasoning_mode,result:main120-CTX1-compactdiag-spectre-mimo-v2.5-pro-20260509:spectre:pass_count,result:main120-CTX1-compactdiag-spectre-mimo-v2.5-pro-20260509:spectre:seen_count,result:main120-CTX1-compactdiag-spectre-mimo-v2.5-pro-20260509:spectre:pass_rate,model,source_collection,task_form,core_function
overall,10,10,0,0,120719,13495,0,134214,13421.4,0.0,365.749,36.575,367.927,36.793,34,mimo-v2.5-pro,mimo,mimo_thinking:disabled,1,10,0.1,,,,
model,10,10,0,0,120719,13495,0,134214,13421.4,0.0,365.749,36.575,367.927,36.793,34,mimo-v2.5-pro,mimo,mimo_thinking:disabled,1,10,0.1,mimo-v2.5-pro,,,
source_collection,6,6,0,0,70899,7851,0,78750,13125.0,0.0,248.034,41.339,249.581,41.597,20,mimo-v2.5-pro,mimo,mimo_thinking:disabled,1,6,0.1667,,balanced_supplement_v1,,
source_collection,2,2,0,0,30602,4175,0,34777,17388.5,0.0,77.105,38.553,77.369,38.684,8,mimo-v2.5-pro,mimo,mimo_thinking:disabled,0,2,0.0,,original92,,
source_collection,2,2,0,0,19218,1469,0,20687,10343.5,0.0,40.61,20.305,40.977,20.488,6,mimo-v2.5-pro,mimo,mimo_thinking:disabled,0,2,0.0,,original92_taskform_completion_v1,,
task_form,2,2,0,0,13717,1025,0,14742,7371.0,0.0,28.327,14.163,28.498,14.249,4,mimo-v2.5-pro,mimo,mimo_thinking:disabled,0,2,0.0,,,bugfix,
task_form,4,4,0,0,60429,7698,0,68127,17031.75,0.0,189.21,47.303,190.04,47.51,16,mimo-v2.5-pro,mimo,mimo_thinking:disabled,0,4,0.0,,,end-to-end,
task_form,1,1,0,0,8431,401,0,8832,8832.0,0.0,11.21,11.21,11.288,11.288,2,mimo-v2.5-pro,mimo,mimo_thinking:disabled,1,1,1.0,,,spec-to-va,
task_form,3,3,0,0,38142,4371,0,42513,14171.0,0.0,137.002,45.667,138.101,46.034,12,mimo-v2.5-pro,mimo,mimo_thinking:disabled,0,3,0.0,,,tb-generation,
source_collection+task_form,1,1,0,0,7276,564,0,7840,7840.0,0.0,16.726,16.726,16.75,16.75,2,mimo-v2.5-pro,mimo,mimo_thinking:disabled,0,1,0.0,,balanced_supplement_v1,bugfix,
source_collection+task_form,2,2,0,0,29827,3523,0,33350,16675.0,0.0,112.105,56.053,112.671,56.336,8,mimo-v2.5-pro,mimo,mimo_thinking:disabled,0,2,0.0,,balanced_supplement_v1,end-to-end,
source_collection+task_form,1,1,0,0,8431,401,0,8832,8832.0,0.0,11.21,11.21,11.288,11.288,2,mimo-v2.5-pro,mimo,mimo_thinking:disabled,1,1,1.0,,balanced_supplement_v1,spec-to-va,
source_collection+task_form,2,2,0,0,25365,3363,0,28728,14364.0,0.0,107.993,53.996,108.872,54.436,8,mimo-v2.5-pro,mimo,mimo_thinking:disabled,0,2,0.0,,balanced_supplement_v1,tb-generation,
source_collection+task_form,2,2,0,0,30602,4175,0,34777,17388.5,0.0,77.105,38.553,77.369,38.684,8,mimo-v2.5-pro,mimo,mimo_thinking:disabled,0,2,0.0,,original92,end-to-end,
source_collection+task_form,1,1,0,0,6441,461,0,6902,6902.0,0.0,11.601,11.601,11.748,11.748,2,mimo-v2.5-pro,mimo,mimo_thinking:disabled,0,1,0.0,,original92_taskform_completion_v1,bugfix,
source_collection+task_form,1,1,0,0,12777,1008,0,13785,13785.0,0.0,29.009,29.009,29.229,29.229,4,mimo-v2.5-pro,mimo,mimo_thinking:disabled,0,1,0.0,,original92_taskform_completion_v1,tb-generation,
core_function,1,1,0,0,12777,1008,0,13785,13785.0,0.0,29.009,29.009,29.229,29.229,4,mimo-v2.5-pro,mimo,mimo_thinking:disabled,0,1,0.0,,,,calibration/control
core_function,1,1,0,0,6441,461,0,6902,6902.0,0.0,11.601,11.601,11.748,11.748,2,mimo-v2.5-pro,mimo,mimo_thinking:disabled,0,1,0.0,,,,continuous dynamics
core_function,1,1,0,0,7276,564,0,7840,7840.0,0.0,16.726,16.726,16.75,16.75,2,mimo-v2.5-pro,mimo,mimo_thinking:disabled,0,1,0.0,,,,continuous dynamics/pll
core_function,3,3,0,0,51360,6362,0,57722,19240.67,0.0,166.067,55.356,166.929,55.643,14,mimo-v2.5-pro,mimo,mimo_thinking:disabled,0,3,0.0,,,,event/timing
core_function,2,2,0,0,27379,3887,0,31266,15633.0,0.0,114.43,57.215,115.168,57.584,8,mimo-v2.5-pro,mimo,mimo_thinking:disabled,0,2,0.0,,,,stateful analog memory
core_function,2,2,0,0,15486,1213,0,16699,8349.5,0.0,27.916,13.958,28.103,14.052,4,mimo-v2.5-pro,mimo,mimo_thinking:disabled,1,2,0.5,,,,threshold/static nonlinear
model+source_collection+task_form,1,1,0,0,7276,564,0,7840,7840.0,0.0,16.726,16.726,16.75,16.75,2,mimo-v2.5-pro,mimo,mimo_thinking:disabled,0,1,0.0,mimo-v2.5-pro,balanced_supplement_v1,bugfix,
model+source_collection+task_form,2,2,0,0,29827,3523,0,33350,16675.0,0.0,112.105,56.053,112.671,56.336,8,mimo-v2.5-pro,mimo,mimo_thinking:disabled,0,2,0.0,mimo-v2.5-pro,balanced_supplement_v1,end-to-end,
model+source_collection+task_form,1,1,0,0,8431,401,0,8832,8832.0,0.0,11.21,11.21,11.288,11.288,2,mimo-v2.5-pro,mimo,mimo_thinking:disabled,1,1,1.0,mimo-v2.5-pro,balanced_supplement_v1,spec-to-va,
model+source_collection+task_form,2,2,0,0,25365,3363,0,28728,14364.0,0.0,107.993,53.996,108.872,54.436,8,mimo-v2.5-pro,mimo,mimo_thinking:disabled,0,2,0.0,mimo-v2.5-pro,balanced_supplement_v1,tb-generation,
model+source_collection+task_form,2,2,0,0,30602,4175,0,34777,17388.5,0.0,77.105,38.553,77.369,38.684,8,mimo-v2.5-pro,mimo,mimo_thinking:disabled,0,2,0.0,mimo-v2.5-pro,original92,end-to-end,
model+source_collection+task_form,1,1,0,0,6441,461,0,6902,6902.0,0.0,11.601,11.601,11.748,11.748,2,mimo-v2.5-pro,mimo,mimo_thinking:disabled,0,1,0.0,mimo-v2.5-pro,original92_taskform_completion_v1,bugfix,
