model,model_id,model_slug,provider,reasoning_mode,task_id,sample_idx,status,finish_reason,family,source_collection,task_form,core_function,benchmark_split,input_tokens,output_tokens,reasoning_tokens,total_tokens,api_elapsed_s,task_elapsed_s,api_call_count,generated_at,meta_path,result:main120-CTX1-compactdiag-spectre-mimo-v2.5-pro-20260509:spectre
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,mimo,mimo_thinking:disabled,vbm1_debounce_latch_e2e,0,generated,stop,end-to-end,balanced_supplement_v1,end-to-end,stateful analog memory,benchmark-vabench-main-v1,15093,1899,0,16992,56.779,57.09,4,2026-05-09T06:44:08.927206+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-main120-CTX1-compactdiag-controller-smoke-mimo-v2.5-pro-20260509/mimo-v2.5-pro/vbm1_debounce_latch_e2e/sample_0/generation_meta.json,FAIL_SIM_CORRECTNESS
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,mimo,mimo_thinking:disabled,vbm1_debounce_latch_tb,0,generated,stop,tb-generation,balanced_supplement_v1,tb-generation,stateful analog memory,benchmark-vabench-main-v1,12286,1988,0,14274,57.651,58.078,4,2026-05-09T06:44:05.271682+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-main120-CTX1-compactdiag-controller-smoke-mimo-v2.5-pro-20260509/mimo-v2.5-pro/vbm1_debounce_latch_tb/sample_0/generation_meta.json,FAIL_SIM_CORRECTNESS
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,mimo,mimo_thinking:disabled,vbm1_edge_detector_e2e,0,generated,stop,end-to-end,balanced_supplement_v1,end-to-end,event/timing,benchmark-vabench-main-v1,14734,1624,0,16358,55.326,55.581,4,2026-05-09T06:44:02.086916+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-main120-CTX1-compactdiag-controller-smoke-mimo-v2.5-pro-20260509/mimo-v2.5-pro/vbm1_edge_detector_e2e/sample_0/generation_meta.json,FAIL_SIM_CORRECTNESS
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,mimo,mimo_thinking:disabled,vbm1_edge_detector_tb,0,generated,stop,tb-generation,balanced_supplement_v1,tb-generation,event/timing,benchmark-vabench-main-v1,13079,1375,0,14454,50.342,50.794,4,2026-05-09T06:44:01.346636+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-main120-CTX1-compactdiag-controller-smoke-mimo-v2.5-pro-20260509/mimo-v2.5-pro/vbm1_edge_detector_tb/sample_0/generation_meta.json,FAIL_SIM_CORRECTNESS
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,mimo,mimo_thinking:disabled,vbm1_lock_detector_tb,0,generated,stop,tb-generation,original92_taskform_completion_v1,tb-generation,calibration/control,benchmark-vabench-main-v1,12777,1008,0,13785,29.009,29.229,4,2026-05-09T06:44:36.223507+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-main120-CTX1-compactdiag-controller-smoke-mimo-v2.5-pro-20260509/mimo-v2.5-pro/vbm1_lock_detector_tb/sample_0/generation_meta.json,FAIL_SIM_CORRECTNESS
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,mimo,mimo_thinking:disabled,vbm1_offset_comparator_e2e,0,generated,stop,end-to-end,original92,end-to-end,threshold/static nonlinear,benchmark-vabench-main-v1,7055,812,0,7867,16.706,16.815,2,2026-05-09T06:44:29.019867+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-main120-CTX1-compactdiag-controller-smoke-mimo-v2.5-pro-20260509/mimo-v2.5-pro/vbm1_offset_comparator_e2e/sample_0/generation_meta.json,FAIL_TB_COMPILE
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,mimo,mimo_thinking:disabled,vbm1_one_shot_timer_e2e,0,generated,stop,end-to-end,original92,end-to-end,event/timing,benchmark-vabench-main-v1,23547,3363,0,26910,60.399,60.554,6,2026-05-09T06:45:09.177209+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-main120-CTX1-compactdiag-controller-smoke-mimo-v2.5-pro-20260509/mimo-v2.5-pro/vbm1_one_shot_timer_e2e/sample_0/generation_meta.json,FAIL_SIM_CORRECTNESS
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,mimo,mimo_thinking:disabled,vbm1_resettable_integrator_bugfix,0,generated,stop,bugfix,original92_taskform_completion_v1,bugfix,continuous dynamics,benchmark-vabench-main-v1,6441,461,0,6902,11.601,11.748,2,2026-05-09T06:44:24.516677+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-main120-CTX1-compactdiag-controller-smoke-mimo-v2.5-pro-20260509/mimo-v2.5-pro/vbm1_resettable_integrator_bugfix/sample_0/generation_meta.json,FAIL_DUT_COMPILE
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,mimo,mimo_thinking:disabled,vbm1_vco_phase_integrator_bugfix,0,generated,stop,bugfix,balanced_supplement_v1,bugfix,continuous dynamics/pll,benchmark-vabench-main-v1,7276,564,0,7840,16.726,16.75,2,2026-05-09T06:44:42.599885+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-main120-CTX1-compactdiag-controller-smoke-mimo-v2.5-pro-20260509/mimo-v2.5-pro/vbm1_vco_phase_integrator_bugfix/sample_0/generation_meta.json,FAIL_DUT_COMPILE
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,mimo,mimo_thinking:disabled,vbm1_voltage_clamp_dut,0,generated,stop,spec-to-va,balanced_supplement_v1,spec-to-va,threshold/static nonlinear,benchmark-vabench-main-v1,8431,401,0,8832,11.21,11.288,2,2026-05-09T06:44:42.544465+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-main120-CTX1-compactdiag-controller-smoke-mimo-v2.5-pro-20260509/mimo-v2.5-pro/vbm1_voltage_clamp_dut/sample_0/generation_meta.json,PASS
