group,tasks,generated,api_error,no_code_extracted,total_input_tokens,total_output_tokens,total_reasoning_tokens,total_tokens,avg_tokens_per_task,avg_reasoning_tokens_per_task,api_elapsed_s,avg_api_elapsed_s_per_task,task_elapsed_s,avg_task_elapsed_s_per_task,api_call_count,model_id,provider,reasoning_mode,model,source_collection,task_form,core_function
overall,120,45,0,0,145542,23046,0,168588,1404.9,0.0,439.928,3.666,440.245,3.669,47,mimo-v2.5-pro,mimo,mimo_thinking:disabled,,,,
model,120,45,0,0,145542,23046,0,168588,1404.9,0.0,439.928,3.666,440.245,3.669,47,mimo-v2.5-pro,mimo,mimo_thinking:disabled,mimo-v2.5-pro,,,
source_collection,80,28,0,0,90301,12849,0,103150,1289.38,0.0,263.54,3.294,263.717,3.296,30,mimo-v2.5-pro,mimo,mimo_thinking:disabled,,balanced_supplement_v1,,
source_collection,32,12,0,0,40825,8575,0,49400,1543.75,0.0,143.085,4.471,143.203,4.475,12,mimo-v2.5-pro,mimo,mimo_thinking:disabled,,original92,,
source_collection,8,5,0,0,14416,1622,0,16038,2004.75,0.0,33.303,4.163,33.325,4.166,5,mimo-v2.5-pro,mimo,mimo_thinking:disabled,,original92_taskform_completion_v1,,
task_form,30,11,0,0,32835,3625,0,36460,1215.33,0.0,77.141,2.571,77.203,2.573,11,mimo-v2.5-pro,mimo,mimo_thinking:disabled,,,bugfix,
task_form,30,12,0,0,46077,8557,0,54634,1821.13,0.0,149.898,4.997,149.989,5.0,13,mimo-v2.5-pro,mimo,mimo_thinking:disabled,,,end-to-end,
task_form,30,10,0,0,32432,5130,0,37562,1252.07,0.0,103.448,3.448,103.5,3.45,11,mimo-v2.5-pro,mimo,mimo_thinking:disabled,,,spec-to-va,
task_form,30,12,0,0,34198,5734,0,39932,1331.07,0.0,109.441,3.648,109.553,3.652,12,mimo-v2.5-pro,mimo,mimo_thinking:disabled,,,tb-generation,
source_collection+task_form,20,10,0,0,29883,3389,0,33272,1663.6,0.0,72.125,3.606,72.179,3.609,10,mimo-v2.5-pro,mimo,mimo_thinking:disabled,,balanced_supplement_v1,bugfix,
source_collection+task_form,20,6,0,0,23528,3694,0,27222,1361.1,0.0,70.912,3.546,70.968,3.548,7,mimo-v2.5-pro,mimo,mimo_thinking:disabled,,balanced_supplement_v1,end-to-end,
source_collection+task_form,20,7,0,0,23561,4042,0,27603,1380.15,0.0,82.261,4.113,82.298,4.115,8,mimo-v2.5-pro,mimo,mimo_thinking:disabled,,balanced_supplement_v1,spec-to-va,
source_collection+task_form,20,5,0,0,13329,1724,0,15053,752.65,0.0,38.242,1.912,38.272,1.914,5,mimo-v2.5-pro,mimo,mimo_thinking:disabled,,balanced_supplement_v1,tb-generation,
source_collection+task_form,8,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,mimo-v2.5-pro,,,,original92,bugfix,
source_collection+task_form,8,5,0,0,19248,4419,0,23667,2958.38,0.0,70.833,8.854,70.864,8.858,5,mimo-v2.5-pro,mimo,mimo_thinking:disabled,,original92,end-to-end,
