model,model_id,model_slug,provider,reasoning_mode,task_id,sample_idx,status,finish_reason,family,source_collection,task_form,core_function,benchmark_split,input_tokens,output_tokens,reasoning_tokens,total_tokens,api_elapsed_s,task_elapsed_s,api_call_count,generated_at,meta_path
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,,,vbm1_background_calibration_accumulator_bugfix,0,source_selected,,bugfix,balanced_supplement_v1,bugfix,calibration/control,benchmark-vabench-main-v1,0,0,0,0,0.0,0.0,0,2026-05-09T03:41:59.419167+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-main120-C-compile-loop-mimo-v2.5-pro-20260509/mimo-v2.5-pro/vbm1_background_calibration_accumulator_bugfix/sample_0/generation_meta.json
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,,,vbm1_background_calibration_accumulator_dut,0,source_selected,,spec-to-va,balanced_supplement_v1,spec-to-va,calibration/control,benchmark-vabench-main-v1,0,0,0,0,0.0,0.0,0,2026-05-09T03:41:59.417496+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-main120-C-compile-loop-mimo-v2.5-pro-20260509/mimo-v2.5-pro/vbm1_background_calibration_accumulator_dut/sample_0/generation_meta.json
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,,,vbm1_background_calibration_accumulator_e2e,0,source_selected,,end-to-end,balanced_supplement_v1,end-to-end,calibration/control,benchmark-vabench-main-v1,0,0,0,0,0.0,0.0,0,2026-05-09T03:41:59.424792+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-main120-C-compile-loop-mimo-v2.5-pro-20260509/mimo-v2.5-pro/vbm1_background_calibration_accumulator_e2e/sample_0/generation_meta.json
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,,,vbm1_background_calibration_accumulator_tb,0,source_selected,,tb-generation,balanced_supplement_v1,tb-generation,calibration/control,benchmark-vabench-main-v1,0,0,0,0,0.0,0.0,0,2026-05-09T03:41:59.417991+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-main120-C-compile-loop-mimo-v2.5-pro-20260509/mimo-v2.5-pro/vbm1_background_calibration_accumulator_tb/sample_0/generation_meta.json
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,mimo,mimo_thinking:disabled,vbm1_barrel_pointer_window_bugfix,0,generated,stop,bugfix,balanced_supplement_v1,bugfix,pointer/selection,benchmark-vabench-main-v1,3069,282,0,3351,6.688,6.697,1,2026-05-09T03:42:06.803796+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-main120-C-compile-loop-mimo-v2.5-pro-20260509/mimo-v2.5-pro/vbm1_barrel_pointer_window_bugfix/sample_0/generation_meta.json
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,mimo,mimo_thinking:disabled,vbm1_barrel_pointer_window_dut,0,generated,stop,spec-to-va,balanced_supplement_v1,spec-to-va,pointer/selection,benchmark-vabench-main-v1,3073,525,0,3598,9.683,9.695,1,2026-05-09T03:42:09.125457+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-main120-C-compile-loop-mimo-v2.5-pro-20260509/mimo-v2.5-pro/vbm1_barrel_pointer_window_dut/sample_0/generation_meta.json
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,mimo,mimo_thinking:disabled,vbm1_barrel_pointer_window_e2e,0,generated,stop,end-to-end,balanced_supplement_v1,end-to-end,pointer/selection,benchmark-vabench-main-v1,3554,768,0,4322,13.176,13.186,1,2026-05-09T03:42:13.314332+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-main120-C-compile-loop-mimo-v2.5-pro-20260509/mimo-v2.5-pro/vbm1_barrel_pointer_window_e2e/sample_0/generation_meta.json
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,,,vbm1_barrel_pointer_window_tb,0,source_selected,,tb-generation,balanced_supplement_v1,tb-generation,pointer/selection,benchmark-vabench-main-v1,0,0,0,0,0.0,0.0,0,2026-05-09T03:41:59.419422+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-main120-C-compile-loop-mimo-v2.5-pro-20260509/mimo-v2.5-pro/vbm1_barrel_pointer_window_tb/sample_0/generation_meta.json
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,,,vbm1_cdac_calibration_bugfix,0,source_selected,,bugfix,balanced_supplement_v1,bugfix,data conversion/calibration,benchmark-vabench-main-v1,0,0,0,0,0.0,0.0,0,2026-05-09T03:41:59.429432+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-main120-C-compile-loop-mimo-v2.5-pro-20260509/mimo-v2.5-pro/vbm1_cdac_calibration_bugfix/sample_0/generation_meta.json
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,,,vbm1_cdac_calibration_dut,0,source_selected,,spec-to-va,balanced_supplement_v1,spec-to-va,data conversion/calibration,benchmark-vabench-main-v1,0,0,0,0,0.0,0.0,0,2026-05-09T03:41:59.429078+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-main120-C-compile-loop-mimo-v2.5-pro-20260509/mimo-v2.5-pro/vbm1_cdac_calibration_dut/sample_0/generation_meta.json
