group,tasks,generated,api_error,no_code_extracted,total_input_tokens,total_output_tokens,total_reasoning_tokens,total_tokens,avg_tokens_per_task,avg_reasoning_tokens_per_task,api_elapsed_s,avg_api_elapsed_s_per_task,task_elapsed_s,avg_task_elapsed_s_per_task,api_call_count,model_id,provider,reasoning_mode,model,source_collection,task_form,core_function
overall,120,45,0,0,155887,21212,0,177099,1475.83,0.0,349.901,2.916,350.237,2.919,47,mimo-v2.5-pro,mimo,mimo_thinking:disabled,,,,
model,120,45,0,0,155887,21212,0,177099,1475.83,0.0,349.901,2.916,350.237,2.919,47,mimo-v2.5-pro,mimo,mimo_thinking:disabled,mimo-v2.5-pro,,,
source_collection,80,28,0,0,96655,11613,0,108268,1353.35,0.0,212.364,2.655,212.603,2.658,30,mimo-v2.5-pro,mimo,mimo_thinking:disabled,,balanced_supplement_v1,,
source_collection,32,12,0,0,44376,7917,0,52293,1634.16,0.0,109.779,3.431,109.852,3.433,12,mimo-v2.5-pro,mimo,mimo_thinking:disabled,,original92,,
source_collection,8,5,0,0,14856,1682,0,16538,2067.25,0.0,27.758,3.47,27.782,3.473,5,mimo-v2.5-pro,mimo,mimo_thinking:disabled,,original92_taskform_completion_v1,,
task_form,30,11,0,0,35486,3358,0,38844,1294.8,0.0,63.948,2.132,64.031,2.134,11,mimo-v2.5-pro,mimo,mimo_thinking:disabled,,,bugfix,
task_form,30,12,0,0,49012,8447,0,57459,1915.3,0.0,125.082,4.169,125.207,4.174,13,mimo-v2.5-pro,mimo,mimo_thinking:disabled,,,end-to-end,
task_form,30,10,0,0,34842,4040,0,38882,1296.07,0.0,73.091,2.436,73.151,2.438,11,mimo-v2.5-pro,mimo,mimo_thinking:disabled,,,spec-to-va,
task_form,30,12,0,0,36547,5367,0,41914,1397.13,0.0,87.78,2.926,87.848,2.928,12,mimo-v2.5-pro,mimo,mimo_thinking:disabled,,,tb-generation,
source_collection+task_form,20,10,0,0,32533,3122,0,35655,1782.75,0.0,59.713,2.986,59.79,2.989,10,mimo-v2.5-pro,mimo,mimo_thinking:disabled,,balanced_supplement_v1,bugfix,
source_collection+task_form,20,6,0,0,25163,3834,0,28997,1449.85,0.0,61.712,3.086,61.795,3.09,7,mimo-v2.5-pro,mimo,mimo_thinking:disabled,,balanced_supplement_v1,end-to-end,
source_collection+task_form,20,7,0,0,25308,2951,0,28259,1412.95,0.0,56.104,2.805,56.153,2.808,8,mimo-v2.5-pro,mimo,mimo_thinking:disabled,,balanced_supplement_v1,spec-to-va,
source_collection+task_form,20,5,0,0,13651,1706,0,15357,767.85,0.0,34.835,1.742,34.865,1.743,5,mimo-v2.5-pro,mimo,mimo_thinking:disabled,,balanced_supplement_v1,tb-generation,
source_collection+task_form,8,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,mimo-v2.5-pro,,,,original92,bugfix,
source_collection+task_form,8,5,0,0,20547,4169,0,24716,3089.5,0.0,56.798,7.1,56.834,7.104,5,mimo-v2.5-pro,mimo,mimo_thinking:disabled,,original92,end-to-end,
source_collection+task_form,8,2,0,0,6686,835,0,7521,940.12,0.0,12.418,1.552,12.426,1.553,2,mimo-v2.5-pro,mimo,mimo_thinking:disabled,,original92,spec-to-va,
source_collection+task_form,8,5,0,0,17143,2913,0,20056,2507.0,0.0,40.563,5.07,40.592,5.074,5,mimo-v2.5-pro,mimo,mimo_thinking:disabled,,original92,tb-generation,
source_collection+task_form,2,1,0,0,2953,236,0,3189,1594.5,0.0,4.235,2.118,4.241,2.12,1,mimo-v2.5-pro,mimo,mimo_thinking:disabled,,original92_taskform_completion_v1,bugfix,
source_collection+task_form,2,1,0,0,3302,444,0,3746,1873.0,0.0,6.572,3.286,6.578,3.289,1,mimo-v2.5-pro,mimo,mimo_thinking:disabled,,original92_taskform_completion_v1,end-to-end,
source_collection+task_form,2,1,0,0,2848,254,0,3102,1551.0,0.0,4.569,2.284,4.572,2.286,1,mimo-v2.5-pro,mimo,mimo_thinking:disabled,,original92_taskform_completion_v1,spec-to-va,
source_collection+task_form,2,2,0,0,5753,748,0,6501,3250.5,0.0,12.382,6.191,12.391,6.196,2,mimo-v2.5-pro,mimo,mimo_thinking:disabled,,original92_taskform_completion_v1,tb-generation,
core_function,16,1,0,0,2852,253,0,3105,194.06,0.0,5.83,0.364,5.835,0.365,1,mimo-v2.5-pro,mimo,mimo_thinking:disabled,,,,calibration/control
core_function,12,10,0,0,35870,4248,0,40118,3343.17,0.0,75.788,6.316,75.853,6.321,12,mimo-v2.5-pro,mimo,mimo_thinking:disabled,,,,continuous dynamics
core_function,4,1,0,0,3282,345,0,3627,906.75,0.0,5.373,1.343,5.379,1.345,1,mimo-v2.5-pro,mimo,mimo_thinking:disabled,,,,continuous dynamics/pll
core_function,12,3,0,0,11553,2614,0,14167,1180.58,0.0,34.269,2.856,34.287,2.857,3,mimo-v2.5-pro,mimo,mimo_thinking:disabled,,,,data conversion
core_function,4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,mimo-v2.5-pro,,,,,,data conversion/calibration
core_function,16,6,0,0,21350,3666,0,25016,1563.5,0.0,52.438,3.277,52.51,3.282,6,mimo-v2.5-pro,mimo,mimo_thinking:disabled,,,,event/timing
core_function,16,6,0,0,21015,2664,0,23679,1479.94,0.0,44.057,2.754,44.121,2.758,6,mimo-v2.5-pro,mimo,mimo_thinking:disabled,,,,pointer/selection
core_function,8,2,0,0,6548,693,0,7241,905.12,0.0,21.196,2.65,21.206,2.651,2,mimo-v2.5-pro,mimo,mimo_thinking:disabled,,,,source/measurement/TB
core_function,16,8,0,0,26693,3571,0,30264,1891.5,0.0,58.849,3.678,58.901,3.681,8,mimo-v2.5-pro,mimo,mimo_thinking:disabled,,,,stateful analog memory
core_function,16,8,0,0,26724,3158,0,29882,1867.62,0.0,52.101,3.256,52.145,3.259,8,mimo-v2.5-pro,mimo,mimo_thinking:disabled,,,,threshold/static nonlinear
model+source_collection+task_form,20,10,0,0,32533,3122,0,35655,1782.75,0.0,59.713,2.986,59.79,2.989,10,mimo-v2.5-pro,mimo,mimo_thinking:disabled,mimo-v2.5-pro,balanced_supplement_v1,bugfix,
model+source_collection+task_form,20,6,0,0,25163,3834,0,28997,1449.85,0.0,61.712,3.086,61.795,3.09,7,mimo-v2.5-pro,mimo,mimo_thinking:disabled,mimo-v2.5-pro,balanced_supplement_v1,end-to-end,
model+source_collection+task_form,20,7,0,0,25308,2951,0,28259,1412.95,0.0,56.104,2.805,56.153,2.808,8,mimo-v2.5-pro,mimo,mimo_thinking:disabled,mimo-v2.5-pro,balanced_supplement_v1,spec-to-va,
model+source_collection+task_form,20,5,0,0,13651,1706,0,15357,767.85,0.0,34.835,1.742,34.865,1.743,5,mimo-v2.5-pro,mimo,mimo_thinking:disabled,mimo-v2.5-pro,balanced_supplement_v1,tb-generation,
