model,model_id,model_slug,provider,reasoning_mode,task_id,sample_idx,status,finish_reason,family,source_collection,task_form,core_function,benchmark_split,input_tokens,output_tokens,reasoning_tokens,total_tokens,api_elapsed_s,task_elapsed_s,api_call_count,generated_at,meta_path
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,,,vbm1_background_calibration_accumulator_bugfix,0,source_selected,,bugfix,balanced_supplement_v1,bugfix,calibration/control,benchmark-vabench-main-v1,0,0,0,0,0.0,0.0,0,2026-05-09T05:02:50.635226+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-main120-S1-compile-skill-prompt-mimo-v2.5-pro-20260509/mimo-v2.5-pro/vbm1_background_calibration_accumulator_bugfix/sample_0/generation_meta.json
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,,,vbm1_background_calibration_accumulator_dut,0,source_selected,,spec-to-va,balanced_supplement_v1,spec-to-va,calibration/control,benchmark-vabench-main-v1,0,0,0,0,0.0,0.0,0,2026-05-09T05:02:50.635140+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-main120-S1-compile-skill-prompt-mimo-v2.5-pro-20260509/mimo-v2.5-pro/vbm1_background_calibration_accumulator_dut/sample_0/generation_meta.json
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,,,vbm1_background_calibration_accumulator_e2e,0,source_selected,,end-to-end,balanced_supplement_v1,end-to-end,calibration/control,benchmark-vabench-main-v1,0,0,0,0,0.0,0.0,0,2026-05-09T05:02:50.640044+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-main120-S1-compile-skill-prompt-mimo-v2.5-pro-20260509/mimo-v2.5-pro/vbm1_background_calibration_accumulator_e2e/sample_0/generation_meta.json
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,,,vbm1_background_calibration_accumulator_tb,0,source_selected,,tb-generation,balanced_supplement_v1,tb-generation,calibration/control,benchmark-vabench-main-v1,0,0,0,0,0.0,0.0,0,2026-05-09T05:02:50.634789+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-main120-S1-compile-skill-prompt-mimo-v2.5-pro-20260509/mimo-v2.5-pro/vbm1_background_calibration_accumulator_tb/sample_0/generation_meta.json
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,mimo,mimo_thinking:disabled,vbm1_barrel_pointer_window_bugfix,0,generated,stop,bugfix,balanced_supplement_v1,bugfix,pointer/selection,benchmark-vabench-main-v1,3400,273,0,3673,5.813,5.826,1,2026-05-09T05:02:56.908614+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-main120-S1-compile-skill-prompt-mimo-v2.5-pro-20260509/mimo-v2.5-pro/vbm1_barrel_pointer_window_bugfix/sample_0/generation_meta.json
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,mimo,mimo_thinking:disabled,vbm1_barrel_pointer_window_dut,0,generated,stop,spec-to-va,balanced_supplement_v1,spec-to-va,pointer/selection,benchmark-vabench-main-v1,3404,495,0,3899,7.812,7.825,1,2026-05-09T05:02:58.828530+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-main120-S1-compile-skill-prompt-mimo-v2.5-pro-20260509/mimo-v2.5-pro/vbm1_barrel_pointer_window_dut/sample_0/generation_meta.json
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,mimo,mimo_thinking:disabled,vbm1_barrel_pointer_window_e2e,0,generated,stop,end-to-end,balanced_supplement_v1,end-to-end,pointer/selection,benchmark-vabench-main-v1,3885,712,0,4597,10.268,10.285,1,2026-05-09T05:03:01.323102+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-main120-S1-compile-skill-prompt-mimo-v2.5-pro-20260509/mimo-v2.5-pro/vbm1_barrel_pointer_window_e2e/sample_0/generation_meta.json
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,,,vbm1_barrel_pointer_window_tb,0,source_selected,,tb-generation,balanced_supplement_v1,tb-generation,pointer/selection,benchmark-vabench-main-v1,0,0,0,0,0.0,0.0,0,2026-05-09T05:02:50.635997+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-main120-S1-compile-skill-prompt-mimo-v2.5-pro-20260509/mimo-v2.5-pro/vbm1_barrel_pointer_window_tb/sample_0/generation_meta.json
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,,,vbm1_cdac_calibration_bugfix,0,source_selected,,bugfix,balanced_supplement_v1,bugfix,data conversion/calibration,benchmark-vabench-main-v1,0,0,0,0,0.0,0.0,0,2026-05-09T05:02:50.649035+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-main120-S1-compile-skill-prompt-mimo-v2.5-pro-20260509/mimo-v2.5-pro/vbm1_cdac_calibration_bugfix/sample_0/generation_meta.json
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,,,vbm1_cdac_calibration_dut,0,source_selected,,spec-to-va,balanced_supplement_v1,spec-to-va,data conversion/calibration,benchmark-vabench-main-v1,0,0,0,0,0.0,0.0,0,2026-05-09T05:02:50.648099+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-main120-S1-compile-skill-prompt-mimo-v2.5-pro-20260509/mimo-v2.5-pro/vbm1_cdac_calibration_dut/sample_0/generation_meta.json
