model,model_id,model_slug,provider,reasoning_mode,task_id,sample_idx,status,finish_reason,family,source_collection,task_form,core_function,benchmark_split,input_tokens,output_tokens,reasoning_tokens,total_tokens,api_elapsed_s,task_elapsed_s,api_call_count,generated_at,meta_path,result:main120-T1-smoke-spectre-mimo-v2.5-pro-20260509:spectre
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,mimo,mimo_thinking:disabled,vbm1_debounce_latch_e2e,0,generated,stop,end-to-end,balanced_supplement_v1,end-to-end,stateful analog memory,benchmark-vabench-main-v1,8192,1002,0,9194,20.338,20.351,2,2026-05-09T06:03:10.514055+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-main120-T1-llm-tool-controller-smoke-mimo-v2.5-pro-20260509/mimo-v2.5-pro/vbm1_debounce_latch_e2e/sample_0/generation_meta.json,FAIL_SIM_CORRECTNESS
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,mimo,mimo_thinking:disabled,vbm1_debounce_latch_tb,0,generated,stop,tb-generation,balanced_supplement_v1,tb-generation,stateful analog memory,benchmark-vabench-main-v1,6279,927,0,7206,21.156,21.172,2,2026-05-09T06:03:08.791434+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-main120-T1-llm-tool-controller-smoke-mimo-v2.5-pro-20260509/mimo-v2.5-pro/vbm1_debounce_latch_tb/sample_0/generation_meta.json,FAIL_SIM_CORRECTNESS
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,mimo,mimo_thinking:disabled,vbm1_edge_detector_e2e,0,generated,stop,end-to-end,balanced_supplement_v1,end-to-end,event/timing,benchmark-vabench-main-v1,14950,1529,0,16479,32.199,32.27,4,2026-05-09T06:03:20.895239+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-main120-T1-llm-tool-controller-smoke-mimo-v2.5-pro-20260509/mimo-v2.5-pro/vbm1_edge_detector_e2e/sample_0/generation_meta.json,FAIL_SIM_CORRECTNESS
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,mimo,mimo_thinking:disabled,vbm1_edge_detector_tb,0,generated,stop,tb-generation,balanced_supplement_v1,tb-generation,event/timing,benchmark-vabench-main-v1,13527,1030,0,14557,25.509,25.55,4,2026-05-09T06:03:13.837395+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-main120-T1-llm-tool-controller-smoke-mimo-v2.5-pro-20260509/mimo-v2.5-pro/vbm1_edge_detector_tb/sample_0/generation_meta.json,FAIL_SIM_CORRECTNESS
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,mimo,mimo_thinking:disabled,vbm1_lock_detector_tb,0,generated,stop,tb-generation,original92_taskform_completion_v1,tb-generation,calibration/control,benchmark-vabench-main-v1,13257,1036,0,14293,29.205,29.324,4,2026-05-09T06:03:41.898155+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-main120-T1-llm-tool-controller-smoke-mimo-v2.5-pro-20260509/mimo-v2.5-pro/vbm1_lock_detector_tb/sample_0/generation_meta.json,FAIL_SIM_CORRECTNESS
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,mimo,mimo_thinking:disabled,vbm1_offset_comparator_e2e,0,generated,stop,end-to-end,original92,end-to-end,threshold/static nonlinear,benchmark-vabench-main-v1,7271,870,0,8141,15.319,15.358,2,2026-05-09T06:03:29.079561+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-main120-T1-llm-tool-controller-smoke-mimo-v2.5-pro-20260509/mimo-v2.5-pro/vbm1_offset_comparator_e2e/sample_0/generation_meta.json,FAIL_TB_COMPILE
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,mimo,mimo_thinking:disabled,vbm1_one_shot_timer_e2e,0,generated,stop,end-to-end,original92,end-to-end,event/timing,benchmark-vabench-main-v1,16332,2141,0,18473,36.66,36.817,4,2026-05-09T06:03:52.617124+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-main120-T1-llm-tool-controller-smoke-mimo-v2.5-pro-20260509/mimo-v2.5-pro/vbm1_one_shot_timer_e2e/sample_0/generation_meta.json,FAIL_SIM_CORRECTNESS
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,mimo,mimo_thinking:disabled,vbm1_resettable_integrator_bugfix,0,generated,stop,bugfix,original92_taskform_completion_v1,bugfix,continuous dynamics,benchmark-vabench-main-v1,6546,438,0,6984,10.247,10.306,2,2026-05-09T06:03:31.832876+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-main120-T1-llm-tool-controller-smoke-mimo-v2.5-pro-20260509/mimo-v2.5-pro/vbm1_resettable_integrator_bugfix/sample_0/generation_meta.json,FAIL_DUT_COMPILE
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,mimo,mimo_thinking:disabled,vbm1_vco_phase_integrator_bugfix,0,generated,stop,bugfix,balanced_supplement_v1,bugfix,continuous dynamics/pll,benchmark-vabench-main-v1,7434,584,0,8018,12.97,13.026,2,2026-05-09T06:03:42.967843+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-main120-T1-llm-tool-controller-smoke-mimo-v2.5-pro-20260509/mimo-v2.5-pro/vbm1_vco_phase_integrator_bugfix/sample_0/generation_meta.json,FAIL_DUT_COMPILE
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,mimo,mimo_thinking:disabled,vbm1_voltage_clamp_dut,0,generated,stop,spec-to-va,balanced_supplement_v1,spec-to-va,threshold/static nonlinear,benchmark-vabench-main-v1,8638,422,0,9060,10.485,10.507,2,2026-05-09T06:03:44.211024+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-main120-T1-llm-tool-controller-smoke-mimo-v2.5-pro-20260509/mimo-v2.5-pro/vbm1_voltage_clamp_dut/sample_0/generation_meta.json,PASS
