group,tasks,generated,api_error,no_code_extracted,total_input_tokens,total_output_tokens,total_reasoning_tokens,total_tokens,avg_tokens_per_task,avg_reasoning_tokens_per_task,api_elapsed_s,avg_api_elapsed_s_per_task,task_elapsed_s,avg_task_elapsed_s_per_task,api_call_count,model_id,provider,reasoning_mode,result:main120-T2-spectre-mimo-v2.5-pro-20260509:spectre:pass_count,result:main120-T2-spectre-mimo-v2.5-pro-20260509:spectre:seen_count,result:main120-T2-spectre-mimo-v2.5-pro-20260509:spectre:pass_rate,model,source_collection,task_form,core_function
overall,3,3,0,0,21233,1931,0,23164,7721.33,0.0,57.634,19.211,57.679,19.226,6,mimo-v2.5-pro,mimo,mimo_thinking:disabled,0,3,0.0,,,,
model,3,3,0,0,21233,1931,0,23164,7721.33,0.0,57.634,19.211,57.679,19.226,6,mimo-v2.5-pro,mimo,mimo_thinking:disabled,0,3,0.0,mimo-v2.5-pro,,,
source_collection,1,1,0,0,7418,568,0,7986,7986.0,0.0,16.21,16.21,16.226,16.226,2,mimo-v2.5-pro,mimo,mimo_thinking:disabled,0,1,0.0,,balanced_supplement_v1,,
source_collection,1,1,0,0,7207,864,0,8071,8071.0,0.0,17.225,17.225,17.239,17.239,2,mimo-v2.5-pro,mimo,mimo_thinking:disabled,0,1,0.0,,original92,,
source_collection,1,1,0,0,6608,499,0,7107,7107.0,0.0,24.199,24.199,24.214,24.214,2,mimo-v2.5-pro,mimo,mimo_thinking:disabled,0,1,0.0,,original92_taskform_completion_v1,,
task_form,2,2,0,0,14026,1067,0,15093,7546.5,0.0,40.409,20.205,40.44,20.22,4,mimo-v2.5-pro,mimo,mimo_thinking:disabled,0,2,0.0,,,bugfix,
task_form,1,1,0,0,7207,864,0,8071,8071.0,0.0,17.225,17.225,17.239,17.239,2,mimo-v2.5-pro,mimo,mimo_thinking:disabled,0,1,0.0,,,end-to-end,
source_collection+task_form,1,1,0,0,7418,568,0,7986,7986.0,0.0,16.21,16.21,16.226,16.226,2,mimo-v2.5-pro,mimo,mimo_thinking:disabled,0,1,0.0,,balanced_supplement_v1,bugfix,
source_collection+task_form,1,1,0,0,7207,864,0,8071,8071.0,0.0,17.225,17.225,17.239,17.239,2,mimo-v2.5-pro,mimo,mimo_thinking:disabled,0,1,0.0,,original92,end-to-end,
source_collection+task_form,1,1,0,0,6608,499,0,7107,7107.0,0.0,24.199,24.199,24.214,24.214,2,mimo-v2.5-pro,mimo,mimo_thinking:disabled,0,1,0.0,,original92_taskform_completion_v1,bugfix,
core_function,1,1,0,0,6608,499,0,7107,7107.0,0.0,24.199,24.199,24.214,24.214,2,mimo-v2.5-pro,mimo,mimo_thinking:disabled,0,1,0.0,,,,continuous dynamics
core_function,1,1,0,0,7418,568,0,7986,7986.0,0.0,16.21,16.21,16.226,16.226,2,mimo-v2.5-pro,mimo,mimo_thinking:disabled,0,1,0.0,,,,continuous dynamics/pll
core_function,1,1,0,0,7207,864,0,8071,8071.0,0.0,17.225,17.225,17.239,17.239,2,mimo-v2.5-pro,mimo,mimo_thinking:disabled,0,1,0.0,,,,threshold/static nonlinear
model+source_collection+task_form,1,1,0,0,7418,568,0,7986,7986.0,0.0,16.21,16.21,16.226,16.226,2,mimo-v2.5-pro,mimo,mimo_thinking:disabled,0,1,0.0,mimo-v2.5-pro,balanced_supplement_v1,bugfix,
model+source_collection+task_form,1,1,0,0,7207,864,0,8071,8071.0,0.0,17.225,17.225,17.239,17.239,2,mimo-v2.5-pro,mimo,mimo_thinking:disabled,0,1,0.0,mimo-v2.5-pro,original92,end-to-end,
model+source_collection+task_form,1,1,0,0,6608,499,0,7107,7107.0,0.0,24.199,24.199,24.214,24.214,2,mimo-v2.5-pro,mimo,mimo_thinking:disabled,0,1,0.0,mimo-v2.5-pro,original92_taskform_completion_v1,bugfix,
