task_id,left_status,right_status,binary_mismatch,reason_family,left_notes,right_notes
vbm1_barrel_pointer_window_bugfix,FAIL_DUT_COMPILE,FAIL_SIM_CORRECTNESS,False,conditional_transition_semantics,"contract_save_pruned=removed:1,inserted:1,signals:6 | spectre_strict:preflight_pass | returncode=1 | ERROR: Failed to compile Verilog-A file barrel_pointer_window.va: Spectre-incompatible Verilog-A: transition() contribution is inside a conditional/event/loop/case statement | tran.csv missing","contract_save_pruned=removed:1,inserted:1,signals:6 | spectre_strict:preflight_pass | spectre_csv_rows=297 cols=7 | count_range=(0, 0)"
vbm1_debounce_latch_e2e,FAIL_TB_COMPILE,FAIL_DUT_COMPILE,False,tb_source_or_netlist_parse,"contract_save_pruned=removed:1,inserted:1,signals:3 | generated_include=debounce_latch.va | spectre_strict:uncontinued_multiline_source=10:Vrst (rst_n 0) vsource type=pwl wave=[,21:Vsig (sig 0) vsource type=pwl wave=[ | spectre_strict:conditional_transition=debounce_latch.va","contract_save_pruned=removed:1,inserted:1,signals:3 | generated_include=debounce_latch.va | spectre_strict:conditional_transition=debounce_latch.va | spectre_data_missing_time | spectre_returncode=2"
vbm1_first_order_lowpass_bugfix,FAIL_SIM_CORRECTNESS,FAIL_DUT_COMPILE,False,unsupported_or_nonstandard_symbol,"contract_save_pruned=removed:1,inserted:1,signals:2 | spectre_strict:preflight_pass | returncode=1 | evas_runtime_error=KeyError: 'abstime' | KeyError: 'abstime' | tran.csv missing","contract_save_pruned=removed:1,inserted:1,signals:2 | spectre_strict:preflight_pass | spectre_data_missing_time | spectre_returncode=2"
vbm1_first_order_lowpass_dut,FAIL_SIM_CORRECTNESS,FAIL_DUT_COMPILE,False,unsupported_or_nonstandard_symbol,"contract_save_pruned=removed:1,inserted:1,signals:2 | spectre_strict:preflight_pass | returncode=1 | evas_runtime_error=KeyError: '$abstime_step' | KeyError: '$abstime_step' | tran.csv missing","contract_save_pruned=removed:1,inserted:1,signals:2 | spectre_strict:preflight_pass | spectre_data_missing_time | spectre_returncode=2"
vbm1_first_order_lowpass_e2e,FAIL_SIM_CORRECTNESS,FAIL_DUT_COMPILE,False,unsupported_or_nonstandard_symbol,generated_include=first_order_lowpass.va | spectre_strict:preflight_pass | returncode=1 | evas_runtime_error=KeyError: '$abstime_step' | KeyError: '$abstime_step' | tran.csv missing,"contract_save_pruned=removed:1,inserted:1,signals:2 | generated_include=first_order_lowpass.va | spectre_strict:preflight_pass | spectre_data_missing_time | spectre_returncode=2"
vbm1_offset_comparator_e2e,FAIL_TB_COMPILE,FAIL_DUT_COMPILE,False,tb_source_or_netlist_parse,generated_include=cmp_offset_ref.va | spectre_strict:preflight_pass | returncode=1 | ERROR: Invalid source VINP: VINP: PWL wave must contain at least one time/value pair | ERROR: Invalid source VINN: VINN: PWL wave must contain at least one time/value pair | tran.csv missing,"contract_save_pruned=removed:1,inserted:1,signals:4 | generated_include=cmp_offset_ref.va | spectre_strict:preflight_pass | spectre_data_missing_time | spectre_returncode=2"
vbm1_one_shot_timer_e2e,FAIL_TB_COMPILE,FAIL_DUT_COMPILE,False,tb_source_or_netlist_parse,"contract_save_pruned=removed:1,inserted:1,signals:3 | generated_include=one_shot_timer.va | spectre_strict:unsupported_tb_directives=13:curly_block,14:curly_block,17:curly_block,18:curly_block,21:curly_block,22:curly_block,25:curly_block,26:curly_block | spectre_strict:uncontinued_multiline_source=10:Vtrig (trig 0) vsource type=pwl wave=[,36:Vrst (rst_n 0) vsource type=pwl wave=[ | spectre_strict:conditional_transition=one_shot_timer.va","contract_save_pruned=removed:1,inserted:1,signals:3 | generated_include=one_shot_timer.va | spectre_strict:unsupported_tb_directives=13:curly_block,14:curly_block,17:curly_block,18:curly_block,21:curly_block,22:curly_block,25:curly_block,26:curly_block | spectre_strict:conditional_transition=one_shot_timer.va | spectre_data_missing_time | spectre_returncode=2"
vbm1_resettable_integrator_bugfix,FAIL_SIM_CORRECTNESS,FAIL_DUT_COMPILE,False,unsupported_or_nonstandard_symbol,"contract_save_pruned=removed:1,inserted:1,signals:3 | spectre_strict:preflight_pass | returncode=1 | evas_runtime_error=KeyError: '$abstime_step' | KeyError: '$abstime_step' | tran.csv missing","contract_save_pruned=removed:1,inserted:1,signals:3 | spectre_strict:preflight_pass | spectre_data_missing_time | spectre_returncode=2"
vbm1_resettable_integrator_dut,FAIL_SIM_CORRECTNESS,FAIL_DUT_COMPILE,False,unsupported_or_nonstandard_symbol,"contract_save_pruned=removed:1,inserted:1,signals:3 | spectre_strict:preflight_pass | returncode=1 | evas_runtime_error=KeyError: '$abstime_step' | KeyError: '$abstime_step' | tran.csv missing","contract_save_pruned=removed:1,inserted:1,signals:3 | spectre_strict:preflight_pass | spectre_data_missing_time | spectre_returncode=2"
vbm1_resettable_integrator_e2e,FAIL_SIM_CORRECTNESS,FAIL_DUT_COMPILE,False,unsupported_or_nonstandard_symbol,generated_include=resettable_integrator.va | spectre_strict:preflight_pass | returncode=1 | evas_runtime_error=KeyError: '$abstime_step' | KeyError: '$abstime_step' | tran.csv missing,"contract_save_pruned=removed:1,inserted:1,signals:3 | generated_include=resettable_integrator.va | spectre_strict:preflight_pass | spectre_data_missing_time | spectre_returncode=2"
